slug,name,bio,performer_image,performer_type,featured,feature_ordering
margaret_cho,Margaret Cho,margaret_cho.md,margaret_cho.jpg,stand-up,TRUE,1
joel_kim_booster,Joel Kim Booster,joel_kim_booster.md,joel_kim_booster.jpg,stand-up,TRUE,2
amy_hill,Amy Hill,amy_hill.md,amy_hill.jpg,special guest,TRUE,3
andrew_law,Andrew Law,andrew_law.md,andrew_law.jpeg,special guest,TRUE,8
aparna_nancherla,Aparna Nancherla,aparna_nancherla.md,aparna_nancherla.jpg,stand-up,TRUE,5
asif_ali,Asif Ali,,asif_ali.jpg,stand-up,TRUE,4
tim_chantarangsu,Tim Chantarangsu,tim_chantarangsu.md,tim_chantarangsu.jpg,musical comedy,TRUE,7
raymond_lee,Raymond Lee,raymond_lee.md,raymond_lee.jpeg,special guest,TRUE,6
andrew_lopez,Andrew Lopez,andrew_lopez.md,andrew_lopez.jpeg,stand-up,TRUE,9
zac_oyama,Zac Oyama,zac_oyama.md,zac_oyama.jpg,special guest,TRUE,10
a_plus_plus,A++,a_plus_plus.md,a_plus_plus.jpg,improv,FALSE,
aakash_kesavarapu,Aakash Kesavarapu,aakash_kesavarapu.md,aakash_kesavarapu.jpg,stand-up,FALSE,
ahmed_bharoocha,Ahmed Bharoocha,ahmed_bharoocha.md,ahmed_bharoocha.jpeg,stand-up,FALSE,
alex_song_xia,Alex Song-Xia,alex_song_xia.md,alex_song_xia.jpg,stand-up,FALSE,
ali_lu,Ali Lu,ali_lu.md,ali_lu.jpeg,stand-up,FALSE,
andrew_orolfo,Andrew Orolfo,andrew_orolfo.md,andrew_orolfo.jpeg,stand-up,FALSE,
andy_van,Andy Van,andy_van.md,andy_van.jpeg,stand-up,FALSE,
angel_yau,Angel Yau,angel_yau.md,angel_yau.jpeg,character,FALSE,
aaf_ny_alumni,Asian AF NY Alumni,aaf_ny_alumni.md,aaf_ny_alumni.jpg,improv,FALSE,
asian_af_los_angeles,Asian AF Los Angeles,asian_af_los_angeles.md,asian_af_los_angeles.jpg,live show,FALSE,
asian_af_new_york,Asian AF New York,asian_af_new_york.md,asian_af_new_york.jpg,live show,FALSE,
asian_improv_near_me,Asian Improv Near Me,asian_improv_near_me.md,asian_improv_near_me.jpeg,improv,FALSE,
asians_of_mach,Asians of Mach,asians_of_mach.md,asians_of_mach.jpg,improv,FALSE,
the_backyardasians,The BackyardAsians,the_backyardasians.md,the_backyardasians.png,musical comedy,FALSE,
bobalicious,Bobalicious,bobalicious.md,bobalicious.jpeg,improv,FALSE,
bogo,BOGO,bogo.md,bogo.jpeg,improv,FALSE,
bren_tran,Bren Tran,bren_tran.md,bren_tran.jpg,stand-up,FALSE,
brent_weinbach,Brent Weinbach,brent_weinbach.md,brent_weinbach.jpeg,stand-up,FALSE,
cabbage,Cabbage,cabbage.md,cabbage.jpg,improv,FALSE,
caitlin_frain,Caitlin Frain,caitlin_frain.md,caitlin_frain.jpeg,character,FALSE,
cam_gavinski,Cam Gavinski,cam_gavinski.md,cam_gavinski.jpg,character,FALSE,
capulet,Capulet,capulet.md,capulet.jpeg,improv,FALSE,
chelsea_cruz,Chelsea Cruz,chelsea_cruz.md,chelsea_cruz.jpeg,stand-up,FALSE,
chrissa_sparkles,Chrissa Sparkles,chrissa_sparkles.md,chrissa_sparkles.jpg,musical comedy,FALSE,
cold_tofu,Cold Tofu,cold_tofu.md,cold_tofu.jpg,improv,FALSE,
dlo,D'Lo,dlo.md,dlo.jpg,stand-up,FALSE,
dan_guan,Dan Guan,dan_guan.md,dan_guan.jpeg,stand-up,FALSE,
davids_busters,Davids Busters,davids_busters.md,davids_busters.jpeg,improv,FALSE,
deeptanshu_jha,Deeptanshu Jha,deeptanshu_jha.md,deeptanshu_jha.jpeg,stand-up,FALSE,
